objectid,filename,youtubeid,vimeoid,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement
coll001,balsamic_pasta.jpg,,,Balsamic Pasta,,,,,,,,,,,image/jpg,,,
coll002,beef_stew.jpg,,,Beef Stew,,,,,,,,,,,image/jpg,,,
coll003,bratwurst_sauerkraut.jpg,,,Bratwurst and Sauerkraut,,,,,,,,,,,image/jpg,,,
coll004,breakfast_sandwich.jpg,,,Breakfast Sandwich,,,,,,,,,,,image/jpg,,,
coll005,caprese_salad.jpg,,,Caprese Salad,,,,,,,,,,,image/jpg,,,
coll006,chicken_fajita.jpg,,,Chicken Fajita,,,,,,,,,,,image/jpg,,,
coll007,chicken_pot_roast.jpg,,,Chicken Pot Roast,,,,,,,,,,,image/jpg,,,
coll008,chicken_rice_bowl.jpg,,,Chicken Rice Bowl,,,,,,,,,,,image/jpg,,,
coll009,cranberry_chicken.jpg,,,Cranberry Chicken with Mashed Potatoes and Green Beans,,,,,,,,,,,image/jpg,,,
coll010,fish_roasted_vegetables.jpg,,,Fish and Roasted Vegetables,,,,,,,,,,,image/jpg,,,
coll011,grain_bowl.jpg,,,Grain Bowl,,,,,,,,,,,image/jpg,,,
coll012,lamb_chop_vegetables.jpg,,,Seared Lamb Chops with Wild Rice and Roasted Vegetables,,,,,,,,,,,image/jpg,,,
coll013,pasta_bolognese.jpg,,,Pasta Bolognese,,,,,,,,,,,image/jpg,,,
coll014,peanut_chicken.jpg,,,Peanut Chicken Lettuce Wraps,,,,,,,,,,,image/jpg,,,
coll015,pita_pizza.jpg,,,Pita Pizza,,,,,,,,,,,image/jpg,,,
coll016,salad.jpg,,,Salad,,,,,,,,,,,image/jpg,,,
coll017,sandwich.jpg,,,Sandwich,,,,,,,,,,,image/jpg,,,
coll018,sauteed_shrimp.jpg,,,Sauteed Shrimp,,,,,,,,,,,image/jpg,,,
coll019,spicy_sriracha_noodle.jpg,,,Spicy Sriracha Noodle,,,,,,,,,,,image/jpg,,,
coll020,veggie_toast.jpg,,,Avocado and Sauteed Vegetable Toast,,,,,,,,,,,image/jpg,,,
